objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
577,S14000044,Livingston,302051,663045,-3.56606007,55.85062027,271459710.780389,112290.171117567
578,S14000045,Midlothian,330088,659217,-3.1173799,55.82110977,355271605.434085,126472.86302368
579,S14000046,Moray,328024,843593,-3.20186996,57.47682953,2257090305.2628,404432.02972062
580,S14000047,Motherwell and Wishaw,277792,656049,-3.95017004,55.78224945,58089671.1813042,47438.0313591927
581,S14000048,North Ayrshire and Arran,195921,636363,-5.23905993,55.57804108,833748669.837692,333268.526949492
582,S14000049,North East Fife,338928,714312,-2.98890996,56.31724167,802141097.441536,243422.557365609
583,S14000050,Ochil and South Perthshire,293171,714167,-3.72827005,56.30783081,1721773940.96909,282738.75391827
584,S14000051,Orkney and Shetland,434516,0,-1.37344003,60.50495148,2742828771.65939,3801215.79658849
585,S14000052,Paisley and Renfrewshire North,243336,668523,-4.50622988,55.88428116,131174267.260137,64560.9660333796
586,S14000053,Paisley and Renfrewshire South,239382,660301,-4.56450987,55.80918121,138062988.347948,84981.904817068
587,S14000054,Perth and North Perthshire,282156,752482,-3.9235301,56.64923859,3861093398.67331,460010.33812674
588,S14000055,"Ross, Skye and Lochaber",211302,834601,-5.13901997,57.36264038,12767898686.0824,3372364.98692962
589,S14000056,Rutherglen and Hamilton West,268594,657784,-4.09755993,55.7954216,51512407.1056133,56630.9253302222
590,S14000057,Stirling,255980,708769,-4.32595015,56.24953079,2254812645.67722,331998.379760567
591,S14000058,West Aberdeenshire and Kincardine,342584,792624,-2.94729996,57.02112961,3271477978.90795,513633.175840976
592,S14000059,West Dunbartonshire,242904,681587,-4.52074003,56.00141144,182783009.543919,84791.3424787527
593,W07000041,Ynys Mon,245222,378346,-4.32290983,53.27944946,749022718.157855,250277.817772991
594,W07000042,Delyn,318273,370838,-3.22570992,53.22827911,332582097.847823,136485.904583577
595,W07000043,Alyn and Deeside,330102,362484,-3.04672003,53.15488815,156857392.172587,85437.7291786648
596,W07000044,Wrexham,336339,353957,-2.95177007,53.07904053,103166177.9166,70866.5899563587
597,W07000045,Llanelli,249768,205472,-4.17667007,51.72777939,276052918.30685,143606.408480948
598,W07000046,Gower,256421,192102,-4.07490015,51.60939026,333994575.863479,164352.600698828
599,W07000047,Swansea West,262790,193117,-3.98338008,51.62009811,36915130.551455,36358.9730528104
600,W07000048,Swansea East,267106,196223,-3.92226005,51.64905167,49988236.5983343,41735.1816007309
601,W07000049,Aberavon,281996,189115,-3.70475006,51.58848953,186553984.334415,98123.7893760342
